biomass     C:\Users\jpw\OneDrive\Masters 2020-2022\Main Project\Ogmap2 - Demo
Using bandwidths  [ 0.622, 20.2, 1.05 ] 
Year Estimate Mass50 LowCIprob UpCIprob LowCIval UpCIval LRP USR ProbLRP ProbUSR Gini
2202 150 47.2 0.025 0.975 126 175 na na na na na 
2203 143 46.7 0.025 0.975 118 169 na na na na na 
2204 116 48.0 0.025 0.975 101 131 na na na na na 
2205 160 47.5 0.025 0.975 137 183 na na na na na 
2206 143 48.2 0.025 0.975 122 164 na na na na na 
2207 125 47.9 0.025 0.975 106 144 na na na na na 
2208 141 48.3 0.025 0.975 120 164 na na na na na 
2209 124 49.1 0.025 0.975 107 142 na na na na na 
2210 143 47.2 0.025 0.975 119 170 na na na na na 
2211 141 47.9 0.025 0.975 120 162 na na na na na 
2212 121 47.8 0.025 0.975 102 140 na na na na na 
2213 142 47.8 0.025 0.975 123 163 na na na na na 
2214 154 48.1 0.025 0.975 129 179 na na na na na 
2215 132 47.2 0.025 0.975 113 153 na na na na na 
2216 148 48.0 0.025 0.975 127 171 na na na na na 
2217 116 48.4 0.025 0.975 98.5 134 na na na na na 
2218 162 47.7 0.025 0.975 138 189 na na na na na 
2219 158 47.6 0.025 0.975 134 186 na na na na na 
2220 148 47.9 0.025 0.975 129 170 na na na na na 
2221 140 45.5 0.025 0.975 120 164 na na na na na 
2222 157 48.1 0.025 0.975 138 178 na na na na na 
2223 155 47.1 0.025 0.975 133 180 na na na na na 
2224 119 48.4 0.025 0.975 105 135 na na na na na 
2225 142 47.3 0.025 0.975 119 166 na na na na na 
2226 141 47.6 0.025 0.975 124 161 na na na na na 
2227 124 46.3 0.025 0.975 102 148 na na na na na 
2228 184 48.2 0.025 0.975 153 215 na na na na na 
2229 154 46.9 0.025 0.975 132 176 na na na na na 
2230 145 48.1 0.025 0.975 120 170 na na na na na 
2231 121 48.6 0.025 0.975 104 138 na na na na na 
2232 129 48.2 0.025 0.975 111 149 na na na na na 
2233 121 48.2 0.025 0.975 106 138 na na na na na 
2234 144 47.0 0.025 0.975 123 167 na na na na na 
2235 155 46.8 0.025 0.975 135 179 na na na na na 
2236 133 45.8 0.025 0.975 112 155 na na na na na 
2237 143 48.0 0.025 0.975 123 165 na na na na na 
2238 162 48.5 0.025 0.975 140 184 na na na na na 
2239 115 47.4 0.025 0.975 100 131 na na na na na 
2240 135 47.8 0.025 0.975 116 155 na na na na na 
2241 145 47.3 0.025 0.975 124 167 na na na na na 
2242 128 48.1 0.025 0.975 110 147 na na na na na 
2243 125 48.0 0.025 0.975 102 149 na na na na na 
2244 151 47.5 0.025 0.975 130 175 na na na na na 
2245 105 47.7 0.025 0.975 89.8 120 na na na na na 
2246 142 47.4 0.025 0.975 122 166 na na na na na 
2247 136 47.9 0.025 0.975 118 154 na na na na na 
2248 121 48.1 0.025 0.975 102 141 na na na na na 
2249 134 46.8 0.025 0.975 115 153 na na na na na 
2250 145 47.3 0.025 0.975 124 167 na na na na na 
2251 128 48.4 0.025 0.975 112 145 na na na na na 
2252 144 48.7 0.025 0.975 125 163 na na na na na 
2253 133 48.9 0.025 0.975 114 154 na na na na na 
2254 134 47.8 0.025 0.975 115 154 na na na na na 
2255 108 47.7 0.025 0.975 92.1 124 na na na na na 
2256 136 47.9 0.025 0.975 118 155 na na na na na 
2257 140 47.6 0.025 0.975 120 161 na na na na na 
2258 134 48.7 0.025 0.975 117 153 na na na na na 
2259 127 48.8 0.025 0.975 111 145 na na na na na 
2260 163 47.7 0.025 0.975 142 185 na na na na na 
2261 142 48.2 0.025 0.975 122 163 na na na na na 
2262 143 47.3 0.025 0.975 120 166 na na na na na 
2263 139 48.2 0.025 0.975 120 159 na na na na na 
2264 157 47.7 0.025 0.975 135 182 na na na na na 
2265 167 48.8 0.025 0.975 142 194 na na na na na 
2266 151 48.0 0.025 0.975 128 176 na na na na na 
2267 134 46.6 0.025 0.975 115 155 na na na na na 
2268 122 47.8 0.025 0.975 104 141 na na na na na 
2269 119 48.0 0.025 0.975 98.9 138 na na na na na 
2270 156 48.0 0.025 0.975 132 185 na na na na na 
2271 138 46.2 0.025 0.975 116 162 na na na na na 
2272 139 47.9 0.025 0.975 120 159 na na na na na 
2273 138 48.3 0.025 0.975 119 158 na na na na na 
2274 124 47.5 0.025 0.975 107 144 na na na na na 
2275 140 46.5 0.025 0.975 118 165 na na na na na 
2276 117 48.1 0.025 0.975 101 133 na na na na na 
2277 114 48.6 0.025 0.975 95.4 136 na na na na na 
2278 137 48.7 0.025 0.975 115 159 na na na na na 
2279 131 47.5 0.025 0.975 112 150 na na na na na 
2280 139 47.5 0.025 0.975 120 160 na na na na na 
2281 158 47.6 0.025 0.975 137 181 na na na na na 
2282 136 48.2 0.025 0.975 118 155 na na na na na 
2283 148 48.2 0.025 0.975 128 170 na na na na na 
2284 148 48.0 0.025 0.975 128 169 na na na na na 
2285 156 48.0 0.025 0.975 135 178 na na na na na 
2286 131 48.4 0.025 0.975 110 153 na na na na na 
2287 144 48.2 0.025 0.975 124 167 na na na na na 
2288 137 48.0 0.025 0.975 114 162 na na na na na 
2289 125 47.6 0.025 0.975 108 144 na na na na na 
2290 131 47.5 0.025 0.975 110 153 na na na na na 
2291 138 48.5 0.025 0.975 120 158 na na na na na 
2292 121 47.7 0.025 0.975 104 140 na na na na na 
2293 133 46.2 0.025 0.975 113 155 na na na na na 
2294 130 48.5 0.025 0.975 111 152 na na na na na 
2295 136 47.1 0.025 0.975 117 158 na na na na na 
2296 126 48.2 0.025 0.975 107 147 na na na na na 
2297 134 47.7 0.025 0.975 114 156 na na na na na 
2298 135 48.6 0.025 0.975 118 154 na na na na na 
2299 160 48.2 0.025 0.975 137 185 na na na na na 
2300 147 47.5 0.025 0.975 127 171 na na na na na 
2301 139 46.8 0.025 0.975 118 160 na na na na na 
2302 158 48.3 0.025 0.975 135 183 na na na na na 
2303 151 46.1 0.025 0.975 128 176 na na na na na 
2304 144 48.2 0.025 0.975 121 168 na na na na na 
2305 124 48.4 0.025 0.975 105 145 na na na na na 
2306 125 48.2 0.025 0.975 106 144 na na na na na 
2307 148 47.6 0.025 0.975 125 170 na na na na na 
2308 128 47.7 0.025 0.975 110 146 na na na na na 
2309 137 46.6 0.025 0.975 112 164 na na na na na 
2310 117 48.2 0.025 0.975 100 134 na na na na na 
2311 164 48.0 0.025 0.975 139 191 na na na na na 
2312 139 47.5 0.025 0.975 119 160 na na na na na 
2313 128 47.4 0.025 0.975 111 147 na na na na na 
2314 156 47.4 0.025 0.975 132 181 na na na na na 
2315 121 48.5 0.025 0.975 104 140 na na na na na 
2316 146 48.5 0.025 0.975 125 170 na na na na na 
2317 135 47.7 0.025 0.975 115 157 na na na na na 
2318 144 47.2 0.025 0.975 124 164 na na na na na 
2319 132 47.3 0.025 0.975 114 150 na na na na na 
2320 156 48.0 0.025 0.975 129 184 na na na na na 
2321 138 47.1 0.025 0.975 117 160 na na na na na 
2322 142 46.2 0.025 0.975 118 167 na na na na na 
2323 150 47.3 0.025 0.975 131 172 na na na na na 
